"","taxon_name","lng","lat","early_age","late_age","estimated_age","timeSlice"
"1:172","Mammut americanum",-83.715836,42.451111,0.126,0.0117,0.06885,0.01585
"1:173","Mammut americanum",-83.962219,42.59111,0.126,0.0117,0.06885,0.01585
"1:174","Mammut americanum",-83.964722,42.651112,0.126,0.0117,0.06885,0.01585
"1:175","Mammut americanum",-83.73333,42.715832,0.126,0.0117,0.06885,0.01585
"1:176","Mammut americanum",-83.734718,42.745277,0.126,0.0117,0.06885,0.01585
"1:177","Mammut americanum",-84.073059,42.660557,0.126,0.0117,0.06885,0.01585
"1:178","Mammut americanum",-82.919998,42.546944,0.126,0.0117,0.06885,0.01585
"1:179","Mammut americanum",-83.081947,42.631668,0.126,0.0117,0.06885,0.01585
"1:180","Mammut americanum",-82.90139,42.761665,0.126,0.0117,0.06885,0.01585
"1:181","Mammut americanum",-84.236946,43.633888,0.126,0.0117,0.06885,0.01585
"1:182","Mammut americanum",-84.218056,43.619446,0.126,0.0117,0.06885,0.01585
"1:183","Mammut americanum",-83.580833,42.08139,0.126,0.0117,0.06885,0.01585
"1:184","Mammut americanum",-83.714996,41.901112,0.126,0.0117,0.06885,0.01585
"1:185","Mammut americanum",-85.08139,43.2925,0.126,0.0117,0.06885,0.01585
"1:186","Mammut americanum",-86.154724,43.131943,0.126,0.0117,0.06885,0.01585
"1:187","Mammut americanum",-85.978058,43.257221,0.126,0.0117,0.06885,0.01585
"1:188","Mammut americanum",-85.771942,43.550278,0.126,0.0117,0.06885,0.01585
"1:189","Mammut americanum",-86.029724,43.532501,0.126,0.0117,0.06885,0.01585
"1:190","Mammut americanum",-83.22139,42.571667,0.126,0.0117,0.06885,0.01585
"1:191","Mammut americanum",-83.176109,42.540001,0.126,0.0117,0.06885,0.01585
"1:192","Mammut americanum",-83.28167,42.700001,0.126,0.0117,0.06885,0.01585
"1:193","Mammut americanum",-83.266388,42.670834,0.126,0.0117,0.06885,0.01585
"1:194","Mammut americanum",-83.618332,42.806667,0.126,0.0117,0.06885,0.01585
"1:195","Mammut americanum",-85.453331,43.851112,0.126,0.0117,0.06885,0.01585
"1:196","Mammut americanum",-86.009171,42.776112,0.126,0.0117,0.06885,0.01585
"1:197","Mammut americanum",-85.974167,42.979443,0.126,0.0117,0.06885,0.01585
"1:198","Mammut americanum",-84.356392,43.207779,0.126,0.0117,0.06885,0.01585
"1:199","Mammut americanum",-84.322502,43.174168,0.126,0.0117,0.06885,0.01585
"1:200","Mammut americanum",-84.11972,43.195278,0.126,0.0117,0.06885,0.01585
"1:201","Mammut americanum",-83.705833,43.257221,0.126,0.0117,0.06885,0.01585
"1:202","Mammut americanum",-83.784447,43.228333,0.126,0.0117,0.06885,0.01585
"1:203","Mammut americanum",-83.88472,43.31472,0.126,0.0117,0.06885,0.01585
"1:204","Mammut americanum",-84.139999,43.517776,0.126,0.0117,0.06885,0.01585
"1:205","Mammut americanum",-84.140282,43.503334,0.126,0.0117,0.06885,0.01585
"1:206","Mammut americanum",-84.140556,43.296944,0.126,0.0117,0.06885,0.01585
"1:207","Mammut americanum",-82.528893,42.897499,0.126,0.0117,0.06885,0.01585
"1:208","Mammut americanum",-82.430832,42.997223,0.126,0.0117,0.06885,0.01585
"1:209","Mammut americanum",-82.431664,43.028057,0.126,0.0117,0.06885,0.01585
"1:210","Mammut americanum",-85.302223,41.934166,0.126,0.0117,0.06885,0.01585
"1:211","Mammut americanum",-83.089996,43.320557,0.126,0.0117,0.06885,0.01585
"1:212","Mammut americanum",-83.100281,43.493889,0.126,0.0117,0.06885,0.01585
"1:213","Mammut americanum",-82.621109,43.275555,0.126,0.0117,0.06885,0.01585
"1:214","Mammut americanum",-82.861664,43.18639,0.126,0.0117,0.06885,0.01585
"1:215","Mammut americanum",-84.032501,42.829723,0.126,0.0117,0.06885,0.01585
"1:216","Mammut americanum",-84.176941,42.990276,0.126,0.0117,0.06885,0.01585
"1:217","Mammut americanum",-83.987778,42.7225,0.126,0.0117,0.06885,0.01585
